Opportunity_Rec_ID__c,AccountId,Contact__c,Site_Address_Billing_Address__c,Site_Address_Shipping_Address__c,Name,Probability,CreatedDate,CloseDate,Stage_RecID,StageName,Account_Executive__c,AE_Member_RecID,Strategic_Consultant__c,SC_Member_RecID,OwnerId,Location_RecID,Location__c,Department__c,Solution_Engineer_1__c,Solution_Engineer_2__c,Non_Recurring__c,Amount,Full_Agreement_Term__c,MRR_Delta__c,Sell_Quote__c,Sell_Quote_EXP_Date__c,pricebook2id,product2id
538,19419,1819,1158,1158,Noble Energy Houston IP Phones,0,1/31/2014,3/6/2014,16,Order Porter Approved,Elmer Mosbey,173,Richard Remels,230,173,30,Meriplex Communications ,Non-Recurring Revenue,,,,,,,,,01sDn0000013Ye9IAE,01tDn0000074PjWIAU
539,19419,1819,1158,1158,Noble Energy Houston SPWR cables,0,1/31/2014,2/6/2014,16,Order Porter Approved,Elmer Mosbey,173,Richard Remels,230,173,30,Meriplex Communications ,Non-Recurring Revenue,,,,,,,,,01sDn0000013Ye9IAE,01tDn0000074PjWIAU
545,19419,1819,1158,1158,Noble Energy-Houston-APC Mgmt Cards,20,1/31/2014,2/28/2014,3,Closing,Elmer Mosbey,173,Kenneth Crisp,253,173,30,Meriplex Communications ,Non-Recurring Revenue,,,,,,,,,01sDn0000013Ye9IAE,01tDn0000074PjWIAU
546,19419,1819,1158,1158,Noble Energy-Washington DC-Cisco Wireless Controll,0,1/31/2014,4/9/2014,16,Order Porter Approved,Elmer Mosbey,173,Kenneth Crisp,253,173,30,Meriplex Communications ,Non-Recurring Revenue,,,,,,,,,01sDn0000013Ye9IAE,01tDn0000074PjWIAU
554,19419,1819,1158,1158,Noble Energy-Houston-Smartnet Renewal 7937,20,2/4/2014,2/4/2014,3,Closing,Elmer Mosbey,173,Kenneth Crisp,253,173,30,Meriplex Communications ,Non-Recurring Revenue,,,,,,,,,01sDn0000013Ye9IAE,01tDn0000074PjWIAU
555,19405,1434,1143,1143,Shintech-Houston-Cisco Phone Power Supplies Change Order ,0,2/4/2014,4/14/2014,16,Order Porter Approved,Elmer Mosbey,173,Kenneth Crisp,253,173,30,Meriplex Communications ,Non-Recurring Revenue,,,,,,,,,01sDn0000013Ye9IAE,01tDn0000074PjWIAU
564,19419,1819,1158,1158,Noble Energy-Houston-Cisco 3945 Office in Box,0,2/5/2014,8/26/2014,16,Order Porter Approved,Elmer Mosbey,173,Kenneth Crisp,253,173,30,Meriplex Communications ,Non-Recurring Revenue,,,,,,,,,01sDn0000013Ye9IAE,01tDn0000074PjWIAU
569,19420,1836,1159,1159,Loomis-Houston-Cisco 2960 Switch,0,2/6/2014,2/6/2014,16,Order Porter Approved,Elmer Mosbey,173,Kenneth Crisp,253,173,30,Meriplex Communications ,Non-Recurring Revenue,,,,,,,,,01sDn0000013Ye9IAE,01tDn0000074PjWIAU
572,19419,1819,1158,1158,Noble Energy-Houston-Polycom VTX1000 w Mics,20,2/6/2014,2/6/2014,3,Closing,Elmer Mosbey,173,Kenneth Crisp,253,173,30,Meriplex Communications ,Non-Recurring Revenue,,,,,,,,,01sDn0000013Ye9IAE,01tDn0000074PjWIAU
586,19419,1819,1158,1158,Noble Energy-Ardmore-Campus Refresh,0,2/6/2014,3/3/2014,16,Order Porter Approved,Elmer Mosbey,173,Dusty Corning,170,173,30,Meriplex Communications ,Non-Recurring Revenue,,,,,,,,,01sDn0000013Ye9IAE,01tDn0000074PjWIAU
592,19419,1819,1158,1158,Noble Energy X2 Mods,20,2/7/2014,3/31/2014,3,Closing,Elmer Mosbey,173,Richard Remels,230,173,30,Meriplex Communications ,Non-Recurring Revenue,,,,,,,,,01sDn0000013Ye9IAE,01tDn0000074PjWIAU
593,59180,45655,40924,40924,MRC - Kingspan Updated SIP and Backup Internet,99,2/7/2014,5/30/2014,11,Signed,Scott Turner,205,David Henley,163,205,30,Meriplex Communications ,Non-Recurring Revenue,,,,,,,,,01sDn0000013Ye9IAE,01tDn0000074PjWIAU
604,56518,32592,38262,38262,Bancomer-Houston-IP Phone Accessories,99,2/10/2014,2/20/2014,11,Signed,Scott Turner,205,Kenneth Crisp,253,205,30,Meriplex Communications ,Non-Recurring Revenue,,,,,,,,,01sDn0000013Ye9IAE,01tDn0000074PjWIAU
